number,state,value,hedge_ratio,rebalance_threshold,score,target_final_nav,target_net_pnl,target_annualized_return,target_annualized_volatility,target_sharpe,target_max_drawdown,target_turnover,target_number_of_rebalances,target_total_costs,target_average_health_factor,target_average_idle_ratio,plain_lp_final_nav,plain_lp_net_pnl,plain_lp_annualized_return,plain_lp_annualized_volatility,plain_lp_sharpe,plain_lp_max_drawdown,plain_lp_turnover,plain_lp_number_of_rebalances,plain_lp_total_costs,plain_lp_average_health_factor,plain_lp_average_idle_ratio,fixed_hedge_final_nav,fixed_hedge_net_pnl,fixed_hedge_annualized_return,fixed_hedge_annualized_volatility,fixed_hedge_sharpe,fixed_hedge_max_drawdown,fixed_hedge_turnover,fixed_hedge_number_of_rebalances,fixed_hedge_total_costs,fixed_hedge_average_health_factor,fixed_hedge_average_idle_ratio,buy_hold_final_nav,buy_hold_net_pnl,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_turnover,buy_hold_number_of_rebalances,buy_hold_total_costs,buy_hold_average_health_factor,buy_hold_average_idle_ratio
21,TrialState.COMPLETE,0.6113901884104245,0.7998513638956406,0.06586480294447551,0.6113901884104245,103778.31238667216,3853.312386672158,0.03867000756142991,0.06544911943988548,0.6123723090190787,-0.02893118764473923,20867.50997806739,13.0,215.8675099780674,2.093905764635638,0.20106219201693085,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105933.44580452208,6008.445804522082,0.0602996297173124,0.07308275832927147,0.8376342549747795,-0.048479674047883115,0.0,0.0,0.0,2.44171405746443,0.19108844053829027,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
22,TrialState.COMPLETE,0.36996274087970094,0.7957434773080434,0.04588005660395341,0.36996274087970094,102288.38115979289,2363.381159792887,0.02371729157154201,0.06616097239694808,0.3873465271656642,-0.03484284367637125,45425.36762245259,37.0,600.4253676224525,2.0922096766505103,0.1945310515059719,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105925.38270480272,6000.382704802716,0.06021870354920944,0.07339657786243,0.8333265349988516,-0.04906864498685326,0.0,0.0,0.0,2.4543189794190994,0.1901233910772121,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
23,TrialState.COMPLETE,0.57075548186711,0.8065382886689463,0.06579333233331204,0.57075548186711,103502.12620187207,3577.1262018720736,0.035898201566568755,0.06512761845377395,0.5740471987786369,-0.030544400961347584,24034.465674988074,15.0,249.03446567498807,2.0761401489092424,0.20079707371858657,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105946.57112824086,6021.571128240859,0.06043136347758704,0.07258184158497623,0.8446232917565953,-0.04752090796864672,0.0,0.0,0.0,2.421470061054621,0.19265907730344028,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
24,TrialState.COMPLETE,0.5281408080736967,0.8435313568967183,0.06720541763455773,0.5281408080736967,103149.22929999574,3224.2292999957426,0.03235655599018816,0.06326461606578897,0.534929983251184,-0.024221154703059744,29188.251846375882,17.0,284.18825184637586,1.9898685027629688,0.2083625173928184,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,106019.18238263609,6094.182382636092,0.06116013515709251,0.0700438700555274,0.8824471910057352,-0.042216336736649374,0.0,0.0,0.0,2.3152764898877476,0.20134153388816434,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
25,TrialState.COMPLETE,0.40534414759734155,0.7806931113942541,0.042909647485687895,0.40534414759734155,102550.71192687059,2625.7119268705865,0.026349958829358755,0.06706814566369447,0.42130024070666333,-0.03496481931242623,43889.386859603765,37.0,598.8893868596037,2.143107738958315,0.19171267024502206,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105895.84133393352,5970.841333933524,0.05992220854576469,0.07458494266846336,0.8174798541468381,-0.05122640584465865,0.0,0.0,0.0,2.501633856635637,0.18658647858896182,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
26,TrialState.COMPLETE,0.3989579632886326,0.6981320678192264,0.08261227930543981,0.3989579632886326,102670.8946083785,2745.8946083784977,0.027556079773382036,0.07431822150617419,0.402912038751236,-0.05052657016161788,21343.503804289263,10.0,171.34350380428927,2.3822291885787514,0.17205058214892313,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105733.78770536534,5808.787705365336,0.058295744699145,0.08207100416359617,0.7313570390161913,-0.0641503689302848,0.0,0.0,0.0,2.7974768802796097,0.16715007542722027,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
27,TrialState.COMPLETE,0.4341427151498124,0.630775314151096,0.06846948163640805,0.4341427151498124,103178.89750623635,3253.897506236346,0.03265430249663148,0.08149669922435573,0.4350146522921018,-0.06144290405549979,17735.554424046448,10.0,167.73555442404646,2.6568653365928667,0.15764535373126193,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105601.5775749234,5676.577574923402,0.056968812514754275,0.08918210029508995,0.6658094427892131,-0.07512980031211491,0.0,0.0,0.0,3.096202840046874,0.15124846071006953,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
28,TrialState.COMPLETE,0.4084515864859991,0.7381172364359065,0.039770682851721,0.4084515864859991,102672.73982702514,2747.7398270251433,0.027574597919781674,0.07013749488081807,0.42286996972718177,-0.042521537557301925,41371.32279666289,39.0,626.3713227966629,2.2548390290554012,0.18266084549090372,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105812.27195632261,5887.271956322613,0.05908345713332408,0.07825416910118267,0.7726215537738899,-0.05762358236874121,0.0,0.0,0.0,2.6459324111389577,0.17657064424011262,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
29,TrialState.COMPLETE,0.3591961348279083,0.5048659615891958,0.05965664565234467,0.3591961348279083,103097.93071187499,3172.9307118749857,0.03184173015930947,0.09732418130466107,0.3707401995917764,-0.08581080264303376,15434.91420684228,10.0,165.43491420684228,3.2941626411230662,0.12458861344115996,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105354.43840892245,5429.438408922448,0.05448840277968592,0.10421537958007634,0.561187239616246,-0.0956548570022756,0.0,0.0,0.0,3.868369958946103,0.12140888618851306,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
30,TrialState.COMPLETE,0.28500795832279796,0.4173184566696837,0.07431206317420458,0.28500795832279796,102997.3232983306,3072.3232983305934,0.030832049536084094,0.1116877189877627,0.3277489712367659,-0.10236092199016911,11251.858917466558,6.0,101.25185891746656,4.121779093922661,0.09904634064211401,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105182.59718417589,5257.597184175887,0.052763729488158884,0.11562485876984147,0.5025143276944986,-0.10996521545266136,0.0,0.0,0.0,4.679899218193288,0.10056669324534181,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
