strategy_name,regime_segment_id,regime,start_timestamp,end_timestamp,observations,start_nav,end_nav,segment_return,segment_compounded_return,segment_annualized_return,segment_annualized_volatility,segment_sharpe,segment_local_max_drawdown,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover,number_of_rebalances,circuit_breaker_events,average_health_factor,min_health_factor,average_idle_ratio,average_hedge_error,max_hedge_error
fractal_fixed_hedge_lp,530,high_vol_chop,2025-11-05 12:00:00+00:00,2025-11-05 13:00:00+00:00,2,106053.79270778967,106127.84245373854,0.0006982281732526019,0.001816799836089844,2835.6054651715463,0.02776733847337085,102120.17503553392,0.0,0.9920083204697221,0.1891620269710383,0.4629031439772462,0.0,0.0,0.0,0,0,1.9577188798622989,1.9532826398121368,0.19335350194651402,0.0,0.0
fractal_fixed_hedge_lp,532,high_vol_chop,2025-11-05 15:00:00+00:00,2025-11-05 18:00:00+00:00,4,106088.12301562824,106309.77698648733,0.002089338227111659,0.0021796384398975466,116.7087765097313,0.03439912581015324,3392.7832106501833,0.0,2.5296233990911787,0.38741488037370836,0.9258228173099339,0.0,0.0,0.0,0,0,1.9118893785905438,1.8959468158083,0.19317251583203804,0.0,0.0
fractal_fixed_hedge_lp,533,uptrend,2025-11-05 19:00:00+00:00,2025-11-05 22:00:00+00:00,4,106279.24845250684,106214.00485742136,-0.0006138883745930857,-0.000900877903996844,-0.8610737170521756,0.007104300807265164,-121.20456895231753,-0.0006138883745930857,1.2809118643690454,0.3885545483059306,0.925839346951268,0.0,0.0,0.0,0,0,1.9062533438847034,1.899818460182824,0.19306372319490955,0.0,0.0
fractal_fixed_hedge_lp,536,sideways,2025-11-06 01:00:00+00:00,2025-11-06 13:00:00+00:00,13,106128.72363570168,106174.78346805232,0.00043399968239277165,0.0003532925295635092,0.2687380802299837,0.0600013568343515,4.478866719162722,-0.0015830022279206268,7.820719990411817,1.2491316302394078,3.0168150983792956,0.0,0.0,0.0,0,0,1.9322194464802895,1.901088894189608,0.19318587184520286,0.0,0.0
fractal_fixed_hedge_lp,538,sideways,2025-11-06 15:00:00+00:00,2025-11-06 16:00:00+00:00,2,105915.88158154838,105911.73213074812,-3.9176851840405646e-05,-0.0018989995667557658,-0.9997577464593389,0.12049802108618353,-8.296881039600512,-3.9176851840405646e-05,2.4524622825911138,0.1859573115381058,0.4641430537025527,0.0,0.0,0.0,0,0,1.9968088218122158,1.9894095195082144,0.19365213549009763,0.0,0.0
fractal_fixed_hedge_lp,540,sideways,2025-11-06 18:00:00+00:00,2025-11-06 19:00:00+00:00,2,106109.49885604763,106008.48759138542,-0.0009519530838539847,-0.0003868572343261878,-0.8163571652117745,0.10043631374808083,-8.128107601194928,-0.0009519530838539847,1.5668191097656745,0.18817969142192081,0.46414928469197847,0.0,0.0,0.0,0,0,1.973226630118364,1.972258399772872,0.1933844294305557,0.0,0.0
fractal_fixed_hedge_lp,541,high_vol_chop,2025-11-06 20:00:00+00:00,2025-11-07 04:00:00+00:00,9,105939.13082809268,106019.40756130344,0.0007577628075976506,0.00010301033592829967,0.10545634311181651,0.08470869981506025,1.2449293088201498,-0.001260402178955622,4.565712027376321,0.8479006671497038,2.091683449542252,0.0,0.0,0.0,0,0,1.973562738915934,1.9621308270238744,0.1934795361178859,0.0,0.0
fractal_fixed_hedge_lp,542,sideways,2025-11-07 05:00:00+00:00,2025-11-07 17:00:00+00:00,13,106043.4872190902,106101.8998438337,0.0005508365131638993,0.000778086620438323,0.6889496092714213,0.08430320218171611,8.172282801148953,-0.0036784522509579753,8.842815954486468,1.2187636218233513,3.024890419563351,0.0,0.0,0.0,0,0,1.985978738295842,1.939974445236796,0.19347098277190763,0.0,0.0
fractal_fixed_hedge_lp,543,high_vol_chop,2025-11-07 18:00:00+00:00,2025-11-07 19:00:00+00:00,2,106199.63244793194,106245.74595933512,0.00043421535781473786,0.0013557355307787233,376.69991248207936,0.032224126689974784,11689.996011568379,0.0,1.102906745160908,0.19471131387553559,0.4653834153698505,0.0,0.0,0.0,0,0,1.9121170820702411,1.907237483836687,0.19306510498890517,0.0,0.0
fractal_fixed_hedge_lp,544,sideways,2025-11-07 20:00:00+00:00,2025-11-07 21:00:00+00:00,2,106272.5772658317,106256.09458909696,-0.0001550981180545863,9.740276816150306e-05,0.5320448536222238,0.026978133625504844,19.721336583463067,-0.0001550981180545863,0.6611595898129962,0.1965656587343363,0.465387591079725,0.0,0.0,0.0,0,0,1.8940837965951505,1.8931755077049632,0.192987585197739,0.0,0.0
