strategy_name,initial_nav,final_nav,net_pnl,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover,mc_scenario,mc_path_id,mc_seed
fractal_dynamic_aave_hedged_lp,99925.0,74256.1917334489,-25668.808266551103,12300.93916844111,484.5215310661139,1910.3734684131796,1425.0,95.46089297643465,95460.89297643464,sideways_low_vol,8,50
fractal_fixed_hedge_lp,99925.0,78155.3532195744,-21769.646780425595,12300.93916844111,863.5680598661894,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,8,50
fractal_plain_uniswap_v2_lp,99850.0,48684.523280324225,-51165.476719675775,24601.87833688222,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,8,50
buy_hold_50_50,100000.0,121561.1165671853,21561.116567185294,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,9,51
fractal_dynamic_aave_hedged_lp,99925.0,186219.92124621672,86294.92124621672,6082.809340045215,1031.2552061370122,1910.3734684131796,15.0,2.0693837494751004,2069.3837494751,sideways_low_vol,9,51
fractal_fixed_hedge_lp,99925.0,187224.3693958792,87299.36939587921,6082.809340045215,939.7977423654293,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,9,51
fractal_plain_uniswap_v2_lp,99850.0,290806.81521422195,190956.81521422195,12165.61868009043,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,9,51
buy_hold_50_50,100000.0,99505.56920815486,-494.4307918451377,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,10,52
fractal_dynamic_aave_hedged_lp,99925.0,113618.97531128033,13693.97531128033,3826.383742978632,1069.5980361724564,1910.3734684131796,390.0,53.76786765377006,53767.86765377007,sideways_low_vol,10,52
fractal_fixed_hedge_lp,99925.0,114293.17119645915,14368.171196459152,3826.383742978632,913.1452022006611,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,10,52
fractal_plain_uniswap_v2_lp,99850.0,126172.2553789277,26322.2553789277,7652.767485957264,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,10,52
buy_hold_50_50,100000.0,98502.74431170149,-1497.2556882985082,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,11,53
fractal_dynamic_aave_hedged_lp,99925.0,136715.0811657899,36790.08116578989,954.2684659736308,981.8933863996572,1910.3734684131796,705.0,72.41788618268626,72417.88618268626,sideways_low_vol,11,53
fractal_fixed_hedge_lp,99925.0,139351.90232860117,39426.902328601165,954.2684659736308,890.4438008021611,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,11,53
fractal_plain_uniswap_v2_lp,99850.0,175393.2030141188,75543.2030141188,1908.5369319472616,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,11,53
buy_hold_50_50,100000.0,68306.62677633142,-31693.373223668576,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,0,100042
fractal_dynamic_aave_hedged_lp,99925.0,65589.99340087324,-34335.00659912676,11625.713907588297,383.3793030151095,1910.3734684131796,3540.0,159.07598640596504,159075.98640596506,high_vol_chop,0,100042
fractal_fixed_hedge_lp,99925.0,67509.49806436732,-32415.50193563268,11625.713907588297,460.7304926204144,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,0,100042
fractal_plain_uniswap_v2_lp,99849.99999999999,5221.091224546202,-94628.90877545378,23251.427815176594,0.0,0.0,0.0,0.0,0.0,high_vol_chop,0,100042
buy_hold_50_50,100000.0,117943.08391075066,17943.08391075066,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,1,100043
fractal_dynamic_aave_hedged_lp,99925.0,60972.63022448731,-38952.36977551269,1932.9644393028914,825.1408350184979,1910.3734684131796,3165.0,353.87404187301854,353874.04187301855,high_vol_chop,1,100043
fractal_fixed_hedge_lp,99925.0,69373.88314772192,-30551.11685227808,1932.9644393028914,1498.577740062178,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,1,100043
fractal_plain_uniswap_v2_lp,99850.0,53152.726673338424,-46697.273326661576,3865.9288786057828,0.0,0.0,0.0,0.0,0.0,high_vol_chop,1,100043
buy_hold_50_50,100000.0,64330.10750835424,-35669.89249164576,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,2,100044
fractal_dynamic_aave_hedged_lp,99925.0,98812.52934670023,-1112.4706532997661,3701.9073168063173,837.5363644689953,1910.3734684131796,1965.0,202.8801184340077,202880.1184340077,high_vol_chop,2,100044
fractal_fixed_hedge_lp,99925.0,96030.69409849947,-3894.3059015005274,3701.9073168063173,575.1138989533515,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,2,100044
fractal_plain_uniswap_v2_lp,99850.0,59117.32135326865,-40732.67864673135,7403.814633612635,0.0,0.0,0.0,0.0,0.0,high_vol_chop,2,100044
buy_hold_50_50,100000.0,66647.02130731056,-33352.978692689445,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,3,100045
fractal_dynamic_aave_hedged_lp,99925.0,102426.58492917506,2501.5849291750637,198876.20333406967,803.8455043695209,1910.3734684131796,5130.0,611.7873929379912,611787.3929379911,high_vol_chop,3,100045
fractal_fixed_hedge_lp,99925.0,112165.50350555647,12240.503505556466,198876.20333406967,608.7058066069358,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,3,100045
fractal_plain_uniswap_v2_lp,99850.0,93420.52184713731,-6429.478152862692,397752.40666813933,0.0,0.0,0.0,0.0,0.0,high_vol_chop,3,100045
buy_hold_50_50,100000.0,128946.88759233116,28946.887592331157,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,4,100046
fractal_dynamic_aave_hedged_lp,99925.0,60390.81659942758,-39534.18340057242,27515.32470525279,644.6952390423462,1910.3734684131796,3840.0,357.3865255763492,357386.52557634923,high_vol_chop,4,100046
fractal_fixed_hedge_lp,99925.0,66895.16532577698,-33029.83467422302,27515.32470525279,610.8053415442068,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,4,100046
fractal_plain_uniswap_v2_lp,99850.0,55758.83173054561,-44091.16826945439,55030.64941050558,0.0,0.0,0.0,0.0,0.0,high_vol_chop,4,100046
buy_hold_50_50,100000.0,93593.13943833552,-6406.860561664478,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,5,100047
fractal_dynamic_aave_hedged_lp,99925.0,284977.7911104037,185052.79111040372,24259.961304152745,1197.7013893838866,1910.3734684131796,810.0,92.7904497016549,92790.44970165488,high_vol_chop,5,100047
fractal_fixed_hedge_lp,99925.0,290267.8103116496,190342.81031164958,24259.961304152745,728.4241381810726,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,5,100047
fractal_plain_uniswap_v2_lp,99850.0,472734.1278098096,372884.1278098096,48519.92260830549,0.0,0.0,0.0,0.0,0.0,high_vol_chop,5,100047
buy_hold_50_50,100000.0,88419.30685028882,-11580.69314971118,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,6,100048
fractal_dynamic_aave_hedged_lp,99925.0,169513.99530706392,69588.99530706392,284.984836110797,1167.959711059913,1910.3734684131796,1230.0,154.98418910679698,154984.18910679698,high_vol_chop,6,100048
fractal_fixed_hedge_lp,99925.0,177634.29344593943,77709.29344593943,284.984836110797,735.9541274077533,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,6,100048
fractal_plain_uniswap_v2_lp,99850.0,243091.04837275262,143241.04837275262,569.969672221594,0.0,0.0,0.0,0.0,0.0,high_vol_chop,6,100048
buy_hold_50_50,100000.0,63080.82231393496,-36919.17768606504,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,7,100049
fractal_dynamic_aave_hedged_lp,99925.0,61530.5492176249,-38394.4507823751,127313.59613299748,779.9802822976978,1910.3734684131796,7035.0,739.113089520896,739113.089520896,high_vol_chop,7,100049
fractal_fixed_hedge_lp,99925.0,78197.00848574929,-21727.99151425071,127313.59613299748,548.8591621686583,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,7,100049
fractal_plain_uniswap_v2_lp,99850.0,22337.154449551075,-77512.84555044892,254627.19226599496,0.0,0.0,0.0,0.0,0.0,high_vol_chop,7,100049
buy_hold_50_50,100000.0,111453.76576874958,11453.765768749581,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,8,100050
fractal_dynamic_aave_hedged_lp,99925.0,47139.498101962025,-52785.501898037975,1527.0145798402277,858.7175684007386,1910.3734684131796,2850.0,325.19313151758433,325193.1315175843,high_vol_chop,8,100050
fractal_fixed_hedge_lp,99925.0,59624.39044653147,-40300.60955346853,1527.0145798402277,1071.4045549503317,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,8,100050
fractal_plain_uniswap_v2_lp,99850.0,27291.817820439286,-72558.18217956071,3054.0291596804555,0.0,0.0,0.0,0.0,0.0,high_vol_chop,8,100050
buy_hold_50_50,100000.0,262947.13415754924,162947.13415754924,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,9,100051
fractal_dynamic_aave_hedged_lp,99925.0,85819.6106160079,-14105.389383992093,3627.989628932279,760.2284756973188,1910.3734684131796,2940.0,291.6178499626578,291617.8499626578,high_vol_chop,9,100051
fractal_fixed_hedge_lp,99925.0,40751.71764638451,-59173.28235361549,3627.989628932279,925.6723564840954,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,9,100051
fractal_plain_uniswap_v2_lp,99850.0,117829.59536801378,17979.595368013775,7255.979257864558,0.0,0.0,0.0,0.0,0.0,high_vol_chop,9,100051
buy_hold_50_50,100000.0,73305.76832779378,-26694.231672206224,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,10,100052
fractal_dynamic_aave_hedged_lp,99925.0,1072539.0546236872,972614.0546236872,711567.5394937971,1016.1402327993135,1910.3734684131796,1170.0,168.22987094023375,168229.87094023373,high_vol_chop,10,100052
fractal_fixed_hedge_lp,99925.0,1072248.1762842773,972323.1762842773,711567.5394937971,675.8160870942104,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,10,100052
fractal_plain_uniswap_v2_lp,99850.0,2019371.46175722,1919521.46175722,1423135.0789875942,0.0,0.0,0.0,0.0,0.0,high_vol_chop,10,100052
buy_hold_50_50,100000.0,55995.58141344208,-44004.41858655792,0.0,0.0,0.0,0.0,0.0,0.0,high_vol_chop,11,100053
fractal_dynamic_aave_hedged_lp,99925.0,128754.44691414715,28829.44691414715,11490.469469740525,725.6399585513707,1910.3734684131796,2370.0,234.92345042742824,234923.45042742827,high_vol_chop,11,100053
fractal_fixed_hedge_lp,99925.0,123245.07636976388,23320.076369763876,11490.469469740525,332.3083713384718,1910.3734684131796,0.0,0.0,0.0,high_vol_chop,11,100053
fractal_plain_uniswap_v2_lp,99850.0,105986.84339100857,6136.843391008573,22980.93893948105,0.0,0.0,0.0,0.0,0.0,high_vol_chop,11,100053
buy_hold_50_50,100000.0,309908.3935596802,209908.3935596802,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,0,200042
fractal_dynamic_aave_hedged_lp,99925.0,70123.7593808105,-29801.2406191895,118737.71420012081,1298.28684979426,1910.3734684131796,780.0,121.70699918679848,121706.9991867985,strong_uptrend,0,200042
fractal_fixed_hedge_lp,99925.0,43943.62251110593,-55981.37748889407,118737.71420012081,1669.5431589861264,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,0,200042
fractal_plain_uniswap_v2_lp,99850.0,165557.83892886344,65707.83892886344,237475.42840024162,0.0,0.0,0.0,0.0,0.0,strong_uptrend,0,200042
buy_hold_50_50,100000.0,92357.5441490392,-7642.455850960803,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,1,200043
fractal_dynamic_aave_hedged_lp,99925.0,86787.36684095039,-13137.633159049612,3801.087274504674,661.4422892836774,1910.3734684131796,2355.0,213.2606939396884,213260.6939396884,strong_uptrend,1,200043
fractal_fixed_hedge_lp,99925.0,88968.87099141315,-10956.129008586853,3801.087274504674,765.0161888496466,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,1,200043
fractal_plain_uniswap_v2_lp,99850.0,69160.76588421818,-30689.234115781815,7602.174549009348,0.0,0.0,0.0,0.0,0.0,strong_uptrend,1,200043
buy_hold_50_50,100000.0,103710.47271001556,3710.472710015558,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,2,200044
fractal_dynamic_aave_hedged_lp,99925.0,69104.31193563291,-30820.68806436709,242876.28678296087,896.5915050325925,1910.3734684131796,1650.0,202.10800571697428,202108.00571697426,strong_uptrend,2,200044
fractal_fixed_hedge_lp,99925.0,73686.25140741594,-26238.74859258406,242876.28678296087,985.6869781496587,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,2,200044
fractal_plain_uniswap_v2_lp,99850.0,48672.2610692911,-51177.7389307089,485752.57356592175,0.0,0.0,0.0,0.0,0.0,strong_uptrend,2,200044
buy_hold_50_50,100000.0,99817.90088124381,-182.09911875618855,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,3,200045
fractal_dynamic_aave_hedged_lp,99925.0,143812.09871449613,43887.098714496125,12415.35557627907,884.0191867697927,1910.3734684131796,1410.0,167.83605393912478,167836.0539391248,strong_uptrend,3,200045
fractal_fixed_hedge_lp,99925.0,143563.25748773487,43638.25748773487,12415.35557627907,578.8740267908286,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,3,200045
fractal_plain_uniswap_v2_lp,99850.0,184308.9659667943,84458.96596679429,24830.71115255814,0.0,0.0,0.0,0.0,0.0,strong_uptrend,3,200045
buy_hold_50_50,100000.0,134191.8967559628,34191.89675596281,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,4,200046
fractal_dynamic_aave_hedged_lp,99925.0,175211.06818180066,75286.06818180066,3199.7266994756133,1087.2058813578021,1910.3734684131796,300.0,41.1005309763632,41100.5309763632,strong_uptrend,4,200046
fractal_fixed_hedge_lp,99925.0,174435.53574405896,74510.53574405896,3199.7266994756133,1217.5372858073933,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,4,200046
fractal_plain_uniswap_v2_lp,99850.0,276504.55071698583,176654.55071698583,6399.4533989512265,0.0,0.0,0.0,0.0,0.0,strong_uptrend,4,200046
buy_hold_50_50,100000.0,292543.77932455955,192543.77932455955,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,5,200047
fractal_dynamic_aave_hedged_lp,99925.0,560240.4475622234,460315.4475622234,2087.7827808901798,1376.3876325017345,1910.3734684131796,300.0,50.820530442501386,50820.53044250139,strong_uptrend,5,200047
fractal_fixed_hedge_lp,99925.0,530555.3887002764,430630.3887002764,2087.7827808901798,2520.5158680152367,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,5,200047
fractal_plain_uniswap_v2_lp,99850.0,1125745.7203743428,1025895.7203743428,4175.5655617803595,0.0,0.0,0.0,0.0,0.0,strong_uptrend,5,200047
buy_hold_50_50,100000.0,99221.49392596814,-778.5060740318586,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,6,200048
fractal_dynamic_aave_hedged_lp,99925.0,56364.37177613356,-43560.62822386644,9400.939434567752,477.40232389688106,1910.3734684131796,2520.0,168.2534829030751,168253.4829030751,strong_uptrend,6,200048
fractal_fixed_hedge_lp,99925.0,59424.93668403215,-40500.06331596785,9400.939434567752,925.5439888713217,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,6,200048
fractal_plain_uniswap_v2_lp,99850.0,16219.485174200547,-83630.51482579946,18801.878869135504,0.0,0.0,0.0,0.0,0.0,strong_uptrend,6,200048
buy_hold_50_50,100000.0,84372.20656385741,-15627.793436142587,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,7,200049
fractal_dynamic_aave_hedged_lp,99925.0,574654.6489769542,474729.64897695417,1952.853674808745,997.7131174037547,1910.3734684131796,1005.0,124.52977473970053,124529.77473970054,strong_uptrend,7,200049
fractal_fixed_hedge_lp,99925.0,578063.6231631591,478138.6231631591,1952.853674808745,629.9990979795332,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,7,200049
fractal_plain_uniswap_v2_lp,99850.0,1040302.9658767194,940452.9658767194,3905.70734961749,0.0,0.0,0.0,0.0,0.0,strong_uptrend,7,200049
buy_hold_50_50,100000.0,156646.2556019495,56646.255601949495,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,8,200050
fractal_dynamic_aave_hedged_lp,99925.0,231242.83599879098,131317.83599879098,15888.170684002554,927.5452960264341,1910.3734684131796,1845.0,218.60485340029334,218604.85340029333,strong_uptrend,8,200050
fractal_fixed_hedge_lp,99925.0,226802.40803344647,126877.40803344647,15888.170684002554,1093.363047700976,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,8,200050
fractal_plain_uniswap_v2_lp,99850.0,400047.2821861772,300197.2821861772,31776.34136800511,0.0,0.0,0.0,0.0,0.0,strong_uptrend,8,200050
buy_hold_50_50,100000.0,258795.35069601494,158795.35069601494,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,9,200051
fractal_dynamic_aave_hedged_lp,99925.0,63041.9479592555,-36883.0520407445,11685.237518499918,580.0786548061006,1910.3734684131796,2265.0,181.80766415936031,181807.66415936034,strong_uptrend,9,200051
fractal_fixed_hedge_lp,99925.0,10371.15822110726,-89553.84177889273,11685.237518499918,1629.3591955930447,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,9,200051
fractal_plain_uniswap_v2_lp,99850.0,54952.17221676998,-44897.82778323002,23370.475036999836,0.0,0.0,0.0,0.0,0.0,strong_uptrend,9,200051
buy_hold_50_50,100000.0,163417.2017033596,63417.201703359606,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,10,200052
fractal_dynamic_aave_hedged_lp,99925.0,152709.08166016793,52784.081660167925,34751.560940312185,928.8412575805789,1910.3734684131796,1320.0,156.29712532461298,156297.12532461298,strong_uptrend,10,200052
fractal_fixed_hedge_lp,99925.0,144857.35580965134,44932.355809651344,34751.560940312185,1572.5271069798537,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,10,200052
fractal_plain_uniswap_v2_lp,99850.0,242862.10461282526,143012.10461282526,69503.12188062437,0.0,0.0,0.0,0.0,0.0,strong_uptrend,10,200052
buy_hold_50_50,100000.0,151706.8874593602,51706.88745936021,0.0,0.0,0.0,0.0,0.0,0.0,strong_uptrend,11,200053
fractal_dynamic_aave_hedged_lp,99925.0,133068.87341148886,33143.873411488865,1074.4121400811318,1007.1674301816306,1910.3734684131796,405.0,48.70997015226577,48709.97015226576,strong_uptrend,11,200053
fractal_fixed_hedge_lp,99925.0,130639.53239680543,30714.53239680543,1074.4121400811318,1283.3597862875636,1910.3734684131796,0.0,0.0,0.0,strong_uptrend,11,200053
fractal_plain_uniswap_v2_lp,99850.0,203909.41203281016,104059.41203281016,2148.8242801622637,0.0,0.0,0.0,0.0,0.0,strong_uptrend,11,200053
buy_hold_50_50,100000.0,56056.35675069195,-43943.64324930805,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,0,300042
fractal_dynamic_aave_hedged_lp,99925.0,105075.5917062709,5150.591706270905,40929.84517849017,616.2515294228042,1910.3734684131796,3675.0,326.32333461288124,326323.3346128813,strong_downtrend,0,300042
fractal_fixed_hedge_lp,99925.0,100297.93077869213,372.9307786921272,40929.84517849017,417.44747527859886,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,0,300042
fractal_plain_uniswap_v2_lp,99850.0,60314.41131433099,-39535.58868566901,81859.69035698034,0.0,0.0,0.0,0.0,0.0,strong_downtrend,0,300042
buy_hold_50_50,100000.0,69652.8268648563,-30347.173135143705,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,1,300043
fractal_dynamic_aave_hedged_lp,99925.0,109230.81357799345,9305.813577993453,29036.177872537693,739.7227781670892,1910.3734684131796,3510.0,358.3497071120763,358349.70711207634,strong_downtrend,1,300043
fractal_fixed_hedge_lp,99925.0,112877.33886131019,12952.338861310185,29036.177872537693,711.107209048562,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,1,300043
fractal_plain_uniswap_v2_lp,99850.0,97600.06551208685,-2249.934487913153,58072.35574507539,0.0,0.0,0.0,0.0,0.0,strong_downtrend,1,300043
buy_hold_50_50,100000.0,83103.54258315155,-16896.457416848454,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,2,300044
fractal_dynamic_aave_hedged_lp,99925.0,150857.02490718797,50932.024907187966,1669874.0187066067,953.2301182072496,1910.3734684131796,840.0,90.5974518881258,90597.4518881258,strong_downtrend,2,300044
fractal_fixed_hedge_lp,99925.0,152514.98569118,52589.98569117999,1669874.0187066067,1056.2208683779231,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,2,300044
fractal_plain_uniswap_v2_lp,99850.0,188981.4012159435,89131.40121594351,3339748.0374132134,0.0,0.0,0.0,0.0,0.0,strong_downtrend,2,300044
buy_hold_50_50,100000.0,90906.5443105519,-9093.455689448107,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,3,300045
fractal_dynamic_aave_hedged_lp,99925.0,1653398.542345128,1553473.542345128,2527807.151935685,995.5359407611127,1910.3734684131796,2565.0,367.1707595405273,367170.7595405273,strong_downtrend,3,300045
fractal_fixed_hedge_lp,99925.0,1659346.8084403889,1559421.8084403889,2527807.151935685,616.971095914584,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,3,300045
fractal_plain_uniswap_v2_lp,99850.0,3208389.0662894603,3108539.0662894603,5055614.30387137,0.0,0.0,0.0,0.0,0.0,strong_downtrend,3,300045
buy_hold_50_50,100000.0,81449.76644707701,-18550.23355292299,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,4,300046
fractal_dynamic_aave_hedged_lp,99925.0,68342.88503047985,-31582.114969520146,13471.885482303762,739.332362708602,1910.3734684131796,3045.0,305.4524615475411,305452.4615475411,strong_downtrend,4,300046
fractal_fixed_hedge_lp,99925.0,75978.28002011258,-23946.71997988742,13471.885482303762,651.421460695308,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,4,300046
fractal_plain_uniswap_v2_lp,99850.0,33694.80760889307,-66155.19239110693,26943.770964607524,0.0,0.0,0.0,0.0,0.0,strong_downtrend,4,300046
buy_hold_50_50,100000.0,60585.67863595289,-39414.32136404711,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,5,300047
fractal_dynamic_aave_hedged_lp,99925.0,157427.94825231793,57502.94825231793,40014.766668461416,948.9648147894586,1910.3734684131796,1665.0,239.7765770073339,239776.57700733395,strong_downtrend,5,300047
fractal_fixed_hedge_lp,99925.0,151846.65610412872,51921.65610412872,40014.766668461416,560.9451819217458,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,5,300047
fractal_plain_uniswap_v2_lp,99850.0,167542.95761501358,67692.95761501358,80029.53333692283,0.0,0.0,0.0,0.0,0.0,strong_downtrend,5,300047
buy_hold_50_50,100000.0,68772.54671455733,-31227.453285442665,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,6,300048
fractal_dynamic_aave_hedged_lp,99925.0,130280.66003578914,30355.660035789144,4891.002045011784,807.7979438628581,1910.3734684131796,675.0,110.67288646728059,110672.8864672806,strong_downtrend,6,300048
fractal_fixed_hedge_lp,99925.0,142017.62406756775,42092.624067567755,4891.002045011784,591.7834272014338,1910.3734684131796,0.0,0.0,0.0,strong_downtrend,6,300048
fractal_plain_uniswap_v2_lp,99850.0,154894.88201260834,55044.882012608345,9782.004090023567,0.0,0.0,0.0,0.0,0.0,strong_downtrend,6,300048
buy_hold_50_50,100000.0,66276.12239619478,-33723.87760380522,0.0,0.0,0.0,0.0,0.0,0.0,strong_downtrend,7,300049
fractal_dynamic_aave_hedged_lp,99925.0,341425.66528185026,241500.66528185026,113315.5465886324,922.7260556838654,1910.3734684131796,1215.0,130.08964817918195,130089.64817918194,strong_downtrend,7,300049
