mc_scenario,mc_path_id,mc_seed,final_nav__buy_hold_50_50,final_nav__fractal_dynamic_aave_hedged_lp,final_nav__fractal_fixed_hedge_lp,final_nav__fractal_plain_uniswap_v2_lp,max_drawdown__buy_hold_50_50,max_drawdown__fractal_dynamic_aave_hedged_lp,max_drawdown__fractal_fixed_hedge_lp,max_drawdown__fractal_plain_uniswap_v2_lp,sharpe__buy_hold_50_50,sharpe__fractal_dynamic_aave_hedged_lp,sharpe__fractal_fixed_hedge_lp,sharpe__fractal_plain_uniswap_v2_lp,dynamic_minus_plain_final_nav,dynamic_minus_fixed_final_nav,dynamic_drawdown_improvement_vs_plain,dynamic_minus_plain_sharpe
crash_recovery,10,400052,169743.37752689573,646636.6401582703,691371.8784428665,1340407.7388079478,-0.45506641980250273,-0.44125218605221384,-0.4280642410409643,-0.5905770558055237,1.417178911551451,2.0894209428372728,2.170277797681135,2.3709639338989925,-693771.0986496776,-44735.23828459624,0.14932486975330983,-0.28154299106171976
crash_recovery,11,400053,101501.30111950054,62831.19310805771,67735.1036054424,34368.442868071135,-0.3239627908030872,-0.49162717991861615,-0.457597809646762,-0.925182410430371,0.23532591590518176,-0.38131510692615805,-0.3017373893360914,0.5775107844013632,28462.750239986577,-4903.910497384692,0.4335552305117548,-0.9588258913275212
high_vol_chop,0,100042,68306.62677633142,65589.99340087324,67509.49806436732,5221.091224546202,-0.41031777822344817,-0.5281485300427253,-0.5224615023590927,-0.9779130057706875,-1.0346637506769176,-0.845518976016571,-0.7393323592071669,-1.270862126512356,60368.902176327036,-1919.504663494081,0.4497644757279622,0.4253431504957851
high_vol_chop,1,100043,117943.08391075066,60972.63022448731,69373.88314772192,53152.726673338424,-0.5109067276736796,-0.5453858457423615,-0.5688543144286001,-0.7164425163964375,0.5746052518640342,-0.266221930740507,-0.020600780952871444,0.3010307942826634,7819.903551148884,-8401.252923234613,0.17105667065407604,-0.5672527250231704
high_vol_chop,2,100044,64330.10750835424,98812.52934670023,96030.69409849947,59117.32135326865,-0.5064204682751485,-0.4862168908225907,-0.5317869091992152,-0.8442376535926622,-1.0268180623243897,0.3444544603442349,0.304522046186972,0.3844552514036819,39695.207993431584,2781.8352482007613,0.35802076277007155,-0.04000079105944704
high_vol_chop,3,100045,66647.02130731056,102426.58492917506,112165.50350555647,93420.52184713731,-0.3522814946473991,-0.8745927442045056,-0.8658793072029435,-0.9711816106956354,-0.8635357451240557,0.9089039137614097,0.9434944907396113,1.5220143926592289,9006.063082037756,-9738.918576381402,0.09658886649112974,-0.6131104788978192
high_vol_chop,4,100046,128946.88759233116,60390.81659942758,66895.16532577698,55758.83173054561,-0.47640658868563945,-0.5344311977140711,-0.5122733174268126,-0.695495807067984,0.8629461690509846,-0.5604641844234652,-0.4511447489913937,0.3486255871666989,4631.984868881969,-6504.348726349403,0.16106460935391287,-0.9090897715901641
high_vol_chop,5,100047,93593.13943833552,284977.7911104037,290267.8103116496,472734.1278098096,-0.28522580556935573,-0.7043750111278425,-0.7016332044986198,-0.7616567812237275,0.056390102850665855,1.4964366053619507,1.5135937375448936,1.7918557107569693,-187756.33669940586,-5290.019201245857,0.057281770095884976,-0.2954191053950186
high_vol_chop,6,100048,88419.30685028882,169513.99530706392,177634.29344593943,243091.04837275262,-0.32326561951910815,-0.5887544049766072,-0.5792913402109768,-0.7577885370334659,-0.07508272255943546,1.0410385064889907,1.099971163995099,1.3404778729973468,-73577.0530656887,-8120.298138875514,0.1690341320568587,-0.2994393665083561
high_vol_chop,7,100049,63080.82231393496,61530.5492176249,78197.00848574929,22337.154449551075,-0.5203890963111768,-0.8604827426408103,-0.8235927335328993,-0.9749932798922267,-1.1205284493910872,0.4282418110946974,0.5265137572768019,0.9724157977488171,39193.39476807383,-16666.45926812439,0.11451053725141647,-0.5441739866541198
high_vol_chop,8,100050,111453.76576874958,47139.498101962025,59624.39044653147,27291.817820439286,-0.32823773222980757,-0.6362175260643529,-0.55007454771306,-0.8596719400095577,0.4682602677236497,-0.6141921070404456,-0.35472157492932377,-0.1370830546886867,19847.68028152274,-12484.892344569445,0.22345441394520482,-0.4771090523517589
