timestamp,strategy_name,eth_price_usdc,borrowed_weth,target_weth_debt,hedge_error,turnover,gas_cost,slippage_cost,health_factor,regime,mc_scenario,mc_path_id,mc_seed
2025-03-24 19:00:00+00:00,fractal_dynamic_aave_hedged_lp,1966.9397209782246,6.169997482765855,6.169997482765855,0.0,1062.8906993525295,15.0,1.0628906993525296,3.3241303975802285,strong_downtrend,strong_downtrend,0,300042
2025-03-26 23:00:00+00:00,fractal_dynamic_aave_hedged_lp,2122.904106933879,5.646768344355428,5.646768344355428,0.0,1110.7652867989702,15.0,1.1107652867989701,3.3660488593400095,strong_downtrend,strong_downtrend,0,300042
2025-03-27 23:00:00+00:00,fractal_dynamic_aave_hedged_lp,2216.2097250935963,5.192830035128899,5.192830035128899,0.0,1006.0224955003793,15.0,1.0060224955003791,3.5065530938017972,strong_downtrend,strong_downtrend,0,300042
2025-04-01 13:00:00+00:00,fractal_dynamic_aave_hedged_lp,2160.866356944564,5.700250025112374,5.700250025112374,0.0,1096.4667851964393,15.0,1.0964667851964394,3.2777669736808193,strong_downtrend,strong_downtrend,0,300042
2025-04-05 15:00:00+00:00,fractal_dynamic_aave_hedged_lp,2153.920038994091,5.253099002032118,5.253099002032118,0.0,963.1275490692723,15.0,0.9631275490692722,3.56974275360752,strong_downtrend,strong_downtrend,0,300042
2025-04-08 13:00:00+00:00,fractal_dynamic_aave_hedged_lp,2050.8813193945743,4.828868047776484,4.828868047776484,0.0,870.0473391918143,15.0,0.8700473391918143,4.079682401226034,strong_downtrend,strong_downtrend,0,300042
2025-04-10 10:00:00+00:00,fractal_dynamic_aave_hedged_lp,1973.6870644837222,4.406714706172364,4.406714706172364,0.0,833.1985895526294,15.0,0.8331985895526294,4.6462508533134965,strong_downtrend,strong_downtrend,0,300042
2025-04-11 10:00:00+00:00,fractal_dynamic_aave_hedged_lp,1888.1161554585947,4.837948415842007,4.837948415842007,0.0,814.2193340055937,15.0,0.8142193340055938,4.424361057122149,strong_downtrend,strong_downtrend,0,300042
2025-04-12 11:00:00+00:00,fractal_dynamic_aave_hedged_lp,1929.2030471042367,5.298557811241074,5.298557811241074,0.0,888.6090491287205,15.0,0.8886090491287205,3.9541338345091432,strong_downtrend,strong_downtrend,0,300042
2025-04-12 22:00:00+00:00,fractal_dynamic_aave_hedged_lp,2059.4365738581237,4.877032890685247,4.877032890685247,0.0,868.1038381853099,15.0,0.8681038381853099,4.02442025234508,strong_downtrend,strong_downtrend,0,300042
2025-04-13 08:00:00+00:00,fractal_dynamic_aave_hedged_lp,2104.2647924832327,4.458344941994976,4.458344941994976,0.0,881.0303094659645,15.0,0.8810303094659645,4.30875665517787,strong_downtrend,strong_downtrend,0,300042
2025-04-13 14:00:00+00:00,fractal_dynamic_aave_hedged_lp,2107.0169438372727,4.070856331228651,4.070856331228651,0.0,816.4450684286124,15.0,0.8164450684286124,4.712847360564977,strong_downtrend,strong_downtrend,0,300042
2025-04-14 09:00:00+00:00,fractal_dynamic_aave_hedged_lp,1966.0413602768915,4.475551082265599,4.475551082265599,0.0,795.6466188255998,15.0,0.7956466188255998,4.594447918404623,strong_downtrend,strong_downtrend,0,300042
2025-04-14 17:00:00+00:00,fractal_dynamic_aave_hedged_lp,1919.635389151983,4.9278988621360424,4.9278988621360424,0.0,868.3428064436341,15.0,0.868342806443634,4.273727629764483,strong_downtrend,strong_downtrend,0,300042
2025-04-17 21:00:00+00:00,fractal_dynamic_aave_hedged_lp,1926.6294218809273,4.451333079464328,4.451333079464328,0.0,918.165658357036,15.0,0.918165658357036,4.715637229968734,strong_downtrend,strong_downtrend,0,300042
2025-04-20 12:00:00+00:00,fractal_dynamic_aave_hedged_lp,2345.8545096257376,4.098523916356552,4.098523916356552,0.0,827.6389663136605,15.0,0.8276389663136604,4.207433364306032,strong_downtrend,strong_downtrend,0,300042
2025-04-20 19:00:00+00:00,fractal_dynamic_aave_hedged_lp,2313.2678205228726,4.5703459727034526,4.5703459727034526,0.0,1091.4507799602154,15.0,1.0914507799602153,3.8263422574633013,strong_downtrend,strong_downtrend,0,300042
2025-04-23 12:00:00+00:00,fractal_dynamic_aave_hedged_lp,2319.7410671838184,5.024515150052996,5.024515150052996,0.0,1053.5548921468264,15.0,1.0535548921468263,3.4717303039159666,strong_downtrend,strong_downtrend,0,300042
2025-04-26 17:00:00+00:00,fractal_dynamic_aave_hedged_lp,2489.066436601974,4.554287470309287,4.554287470309287,0.0,1170.4279352112876,15.0,1.1704279352112876,3.5708028754019154,strong_downtrend,strong_downtrend,0,300042
2025-04-26 23:00:00+00:00,fractal_dynamic_aave_hedged_lp,2437.2739054068406,4.209085739276382,4.209085739276382,0.0,841.3511711477695,15.0,0.8413511711477695,3.9458615985925936,strong_downtrend,strong_downtrend,0,300042
2025-04-28 17:00:00+00:00,fractal_dynamic_aave_hedged_lp,2523.8117755158814,3.847738742189991,3.847738742189991,0.0,911.9718062939376,15.0,0.9119718062939375,4.169169044609635,strong_downtrend,strong_downtrend,0,300042
2025-04-29 13:00:00+00:00,fractal_dynamic_aave_hedged_lp,2614.3648189122796,4.200745491434604,4.200745491434604,0.0,922.8884260637044,15.0,0.9228884260637044,3.6868601573841406,strong_downtrend,strong_downtrend,0,300042
2025-04-30 07:00:00+00:00,fractal_dynamic_aave_hedged_lp,2515.3802764933444,4.6459246837383485,4.6459246837383485,0.0,1119.7949598260775,15.0,1.1197949598260775,3.4650290010102642,strong_downtrend,strong_downtrend,0,300042
2025-05-03 15:00:00+00:00,fractal_dynamic_aave_hedged_lp,2650.0713313795136,4.245716188434775,4.245716188434775,0.0,1060.5810599785325,15.0,1.0605810599785326,3.600169076197679,strong_downtrend,strong_downtrend,0,300042
