strategy_name,final_nav,net_pnl,annualized_return,annualized_volatility,sharpe,max_drawdown,turnover,number_of_rebalances,total_costs,average_health_factor,average_idle_ratio,mc_scenario,mc_path_id,mc_seed,mc_max_hedge_error,mc_lp_delta_change
buy_hold_50_50,99870.97867042104,-129.0213295789581,-0.0012903605021508113,0.153385669357119,0.06826493713017484,-0.17289980886045753,0.0,0,0.0,inf,0.0,sideways_low_vol,3,45,,
fractal_dynamic_aave_hedged_lp,78306.14904012362,-21618.850959876378,-0.21637258408859206,0.30522623553653266,-0.6460903566303379,-0.3895541993542436,101968.56441746771,95,1526.9685644174676,3.594598225114613,0.14475912831664944,sideways_low_vol,3,45,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,78724.5198493735,-21200.480150626507,-0.2121853731262613,0.31087372528676005,-0.6116169856724406,-0.4085009670959421,0.0,0,0.0,1.8556465731447047,0.26836315029773994,sideways_low_vol,3,45,,
fractal_plain_uniswap_v2_lp,55407.760990509385,-44442.239009490615,-0.4451273356591223,0.8605286324350082,-0.25409773357076876,-0.7146539386344595,0.0,0,0.0,inf,0.0,sideways_low_vol,3,45,,
buy_hold_50_50,113569.06767715942,13569.067677159415,0.13570717494005358,0.15791956981428232,0.8846885113734164,-0.07461098243915032,0.0,0,0.0,inf,0.0,sideways_low_vol,4,46,,
fractal_dynamic_aave_hedged_lp,116535.30377779611,16610.303777796114,0.16624818321320234,0.47115563647140324,0.5619269951253922,-0.25929248833053,84268.5497114737,43,729.2685497114737,1.7390171021916676,0.17956202610498057,sideways_low_vol,4,46,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,117775.74448137199,17850.744481371992,0.17866354327092426,0.46744733361846597,0.5853126285977805,-0.2578414291987836,0.0,0,0.0,1.702860974132455,0.19247383659677064,sideways_low_vol,4,46,,
fractal_plain_uniswap_v2_lp,145308.2674611701,45458.26746117009,0.455327910049367,0.8455819127445946,0.8663866429978292,-0.379526812630988,0.0,0,0.0,inf,0.0,sideways_low_vol,4,46,,
buy_hold_50_50,89518.83407758988,-10481.165922410117,-0.10482297508809524,0.13891815171946434,-0.727569847945809,-0.16857122722197437,0.0,0,0.0,inf,0.0,sideways_low_vol,5,47,,
fractal_dynamic_aave_hedged_lp,135690.0198127894,35765.0198127894,0.3579660702249283,0.4154459151676733,0.9441653156942864,-0.3432511248865884,75927.17535306123,53,870.9271753530612,2.2586083514938036,0.20225003529396934,sideways_low_vol,5,47,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,136336.82846609177,36411.82846609177,0.36443997835781294,0.4149484366885647,0.9562598072618516,-0.34244402538227503,0.0,0,0.0,2.272498533644992,0.20222735005539483,sideways_low_vol,5,47,,
fractal_plain_uniswap_v2_lp,161494.92687132128,61644.92687132128,0.6174641161560366,0.8585293972983487,0.9892678561083816,-0.6499982218837497,0.0,0,0.0,inf,0.0,sideways_low_vol,5,47,,
buy_hold_50_50,96344.77211865557,-3655.227881344428,-0.03655637470070483,0.14717134749669378,-0.179439919911388,-0.16209428674640947,0.0,0,0.0,inf,0.0,sideways_low_vol,6,48,,
fractal_dynamic_aave_hedged_lp,76599.47636017391,-23325.52363982609,-0.23345357364330255,0.27576087383279685,-0.8260960192959081,-0.3827087996571933,87878.66629551168,98,1557.8786662955117,4.423574571741198,0.1158328338576711,sideways_low_vol,6,48,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,79350.50835158609,-20574.49164841391,-0.20592024218496585,0.27287251457094003,-0.7084403715160728,-0.3523296983709425,0.0,0,0.0,2.0274946027951897,0.27772322342325495,sideways_low_vol,6,48,,
fractal_plain_uniswap_v2_lp,53499.16566535043,-46350.83433464957,-0.46424281974738413,0.8624231798095457,-0.2923669391780654,-0.7476684679230771,0.0,0,0.0,inf,0.0,sideways_low_vol,6,48,,
buy_hold_50_50,89540.94474212814,-10459.055257871863,-0.10460184599150468,0.15803934773289705,-0.620013350573306,-0.26864778978517634,0.0,0,0.0,inf,0.0,sideways_low_vol,7,49,,
fractal_dynamic_aave_hedged_lp,106491.97278028617,6566.972780286174,0.06572676143685086,0.858701331444893,0.5035657566049986,-0.5945831049834557,110700.56072540667,61,1025.7005607254066,1.9108635685278217,0.1673435614698758,sideways_low_vol,7,49,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,107765.28730022762,7840.287300227617,0.07847101974879767,0.8526854004042352,0.51502313562742,-0.5919128098330404,0.0,0,0.0,1.7647404870861552,0.18413186612256632,sideways_low_vol,7,49,,
fractal_plain_uniswap_v2_lp,104837.5826918984,4987.582691898395,0.04995659597197455,1.4180145842013654,0.7431052616893064,-0.7712193073281041,0.0,0,0.0,inf,0.0,sideways_low_vol,7,49,,
buy_hold_50_50,93481.23112110764,-6518.768878892355,-0.06519488310266952,0.1461036331590959,-0.38833469010081384,-0.1712937490250379,0.0,0,0.0,inf,0.0,sideways_low_vol,8,50,,
fractal_dynamic_aave_hedged_lp,74256.1917334489,-25668.808266551103,-0.25690593187822863,0.294738518086426,-0.8599581045884777,-0.3859244437093615,95460.89297643464,95,1520.4608929764347,3.989847127075593,0.12281914666168951,sideways_low_vol,8,50,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,78155.3532195744,-21769.646780425595,-0.21788180422831427,0.2909830596753311,-0.6989656870822192,-0.361173455456695,0.0,0,0.0,2.02572682828898,0.26811186139194937,sideways_low_vol,8,50,,
fractal_plain_uniswap_v2_lp,48684.523280324225,-51165.476719675775,-0.512463385831493,0.8447334753211498,-0.4279902262938128,-0.7174764396766075,0.0,0,0.0,inf,0.0,sideways_low_vol,8,50,,
buy_hold_50_50,121561.1165671853,21561.116567185294,0.21563826317600854,0.1529320179786568,1.353157662410048,-0.12317256810323063,0.0,0,0.0,inf,0.0,sideways_low_vol,9,51,,
fractal_dynamic_aave_hedged_lp,186219.92124621672,86294.92124621672,0.863729362027017,0.5744757785588275,1.3708633182536487,-0.33112252984047064,2069.3837494751,1,17.0693837494751,1.7160780676969434,0.1425797230558553,sideways_low_vol,9,51,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,187224.3693958792,87299.36939587921,0.8737832477623455,0.5742902197646949,1.3804875078437673,-0.33143578953855735,0.0,0,0.0,1.8829966592020932,0.13000519218064566,sideways_low_vol,9,51,,
fractal_plain_uniswap_v2_lp,290806.81521422195,190956.81521422195,1.9127922767184313,0.8385849104307536,1.6940528207202148,-0.4671392858355037,0.0,0,0.0,inf,0.0,sideways_low_vol,9,51,,
buy_hold_50_50,99505.56920815486,-494.4307918451377,-0.004944871003648044,0.15107453787259936,0.04272232391379717,-0.14350877459131706,0.0,0,0.0,inf,0.0,sideways_low_vol,10,52,,
fractal_dynamic_aave_hedged_lp,113618.97531128033,13693.97531128033,0.1370592072543675,0.4816498220590691,0.5074518071250919,-0.416009817112748,53767.86765377007,26,443.76786765377005,1.6396160684145935,0.20366446528661225,sideways_low_vol,10,52,0.8492448544570659,-0.6659922236333837
fractal_fixed_hedge_lp,114293.17119645915,14368.171196459152,0.14380709788884127,0.4797218608305958,0.5198927200035676,-0.41446661895053005,0.0,0,0.0,1.9056580258671618,0.17742078433258168,sideways_low_vol,10,52,,
fractal_plain_uniswap_v2_lp,126172.2553789277,26322.2553789277,0.26365173621713,0.8472304700502327,0.6997193430203237,-0.6209534382030039,0.0,0,0.0,inf,0.0,sideways_low_vol,10,52,,
